,precision,recall,f1-score,support
akiec,0.0,0.0,0.0,49.0
bcc,0.0,0.0,0.0,77.0
bkl,0.0,0.0,0.0,165.0
df,0.0,0.0,0.0,17.0
mel,0.11240575736806031,0.9820359281437125,0.2017220172201722,167.0
nv,0.9736842105263158,0.036779324055666,0.07088122605363985,1006.0
vasc,0.0,0.0,0.0,22.0
accuracy,0.13373253493013973,0.13373253493013973,0.13373253493013973,0.13373253493013973
macro avg,0.1551557096991966,0.14554503602848265,0.038943320467687434,1503.0
weighted avg,0.6642036442248436,0.13373253493013973,0.06985634749549596,1503.0
