,precision,recall,f1-score,support
akiec,0.7428571428571429,0.5306122448979592,0.6190476190476191,49.0
bcc,0.6621621621621622,0.6363636363636364,0.6490066225165563,77.0
bkl,0.4959677419354839,0.7454545454545455,0.5956416464891041,165.0
df,0.46153846153846156,0.35294117647058826,0.4,17.0
mel,0.3324468085106383,0.7485029940119761,0.4604051565377532,167.0
nv,0.9635627530364372,0.709741550695825,0.81740125930166,1006.0
vasc,1.0,0.7272727272727273,0.8421052631578947,22.0
accuracy,0.7045908183632734,0.7045908183632734,0.7045908183632734,0.7045908183632734
macro avg,0.6655050100057609,0.6358412678810368,0.6262296524357982,1503.0
weighted avg,0.8143247267650882,0.7045908183632734,0.7339370317541974,1503.0
