,precision,recall,f1-score,support
akiec,0.7297297297297297,0.5510204081632653,0.627906976744186,49.0
bcc,0.6621621621621622,0.6363636363636364,0.6490066225165563,77.0
bkl,0.48659003831417624,0.7696969696969697,0.596244131455399,165.0
df,0.46153846153846156,0.35294117647058826,0.4,17.0
mel,0.3611111111111111,0.7005988023952096,0.47657841140529533,167.0
nv,0.9601542416452442,0.742544731610338,0.8374439461883408,1006.0
vasc,1.0,0.7272727272727273,0.8421052631578947,22.0
accuracy,0.7245508982035929,0.7245508982035929,0.7245508982035929,0.7245508982035929
macro avg,0.6658979635001264,0.6400626359961049,0.6327550502096676,1503.0
weighted avg,0.813770775822959,0.7245508982035929,0.7495041609075247,1503.0
