,precision,recall,f1-score,support
akiec,0.7586206896551724,0.4489795918367347,0.5641025641025641,49.0
bcc,0.8043478260869565,0.4805194805194805,0.6016260162601627,77.0
bkl,0.6685714285714286,0.7090909090909091,0.6882352941176471,165.0
df,0.4,0.35294117647058826,0.375,17.0
mel,0.35658914728682173,0.8263473053892215,0.4981949458483754,167.0
nv,0.9294258373205742,0.7723658051689861,0.8436482084690554,1006.0
vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
accuracy,0.7391882900864937,0.7391882900864937,0.7391882900864937,0.7391882900864937
macro avg,0.6929840374648981,0.6038011292627938,0.6182233979363659,1503.0
weighted avg,0.8192332637330771,0.7391882900864937,0.7601180004974498,1503.0
