,precision,recall,f1-score,support
akiec,0.7058823529411765,0.4897959183673469,0.5783132530120482,49.0
bcc,0.7843137254901961,0.5194805194805194,0.625,77.0
bkl,0.5619469026548672,0.7696969696969697,0.649616368286445,165.0
df,0.4,0.35294117647058826,0.375,17.0
mel,0.5984848484848485,0.47305389221556887,0.5284280936454849,167.0
nv,0.8951456310679612,0.9165009940357853,0.9056974459724951,1006.0
vasc,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
accuracy,0.8063872255489022,0.8063872255489022,0.8063872255489022,0.8063872255489022
macro avg,0.697015256281769,0.5939761580900592,0.63125884538189,1503.0
weighted avg,0.8087148629272041,0.8063872255489022,0.8024296880243703,1503.0
